========== REACTION WHEEL SPEEDS AND CONTROL SIGNALS ==========
X [rad/s]	Y [rad/s]	Z [rad/s]	X [%]	Y [%]	Z [%]	X [Brake]	Y [Brake]	Z [Brake]
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000,	0,	0,	0,
0.000000,	0.000000,	0.000000,	3.088190,	3.132804,	-3.254179,	0,	0,	0,
1.707039,	1.882142,	-0.652891,	3.712777,	-15.603559,	4.438524,	0,	0,	0,
3.450313,	-49.728734,	6.625452,	3.810292,	-16.712189,	4.101169,	0,	0,	0,
4.851700,	-82.532174,	7.848690,	3.996124,	-18.882120,	4.606213,	0,	0,	0,
6.399943,	-110.216984,	10.545709,	4.011823,	-23.010817,	4.733882,	0,	0,	0,
7.366244,	-142.598763,	12.622749,	4.245219,	-24.647846,	4.799712,	0,	0,	0,
8.846940,	-167.945601,	14.094803,	4.297307,	-28.128704,	5.387023,	0,	0,	0,
9.916598,	-196.418534,	17.260103,	4.505348,	-30.851477,	5.003610,	0,	0,	0,
11.358169,	-223.742737,	17.604830,	4.504247,	-32.895077,	6.083462,	0,	0,	0,
12.196202,	-247.730023,	22.044567,	4.649926,	-35.457157,	5.287733,	0,	0,	0,
13.257665,	-271.802424,	21.515692,	4.840842,	-37.686695,	5.649217,	0,	0,	0,
14.627236,	-294.619368,	22.625439,	4.774449,	-39.478130,	6.054460,	0,	0,	0,
15.166933,	-314.983203,	24.864435,	5.070723,	-41.964680,	6.612796,	0,	0,	0,
16.645138,	-336.641860,	28.364158,	5.007569,	-43.939674,	5.750540,	0,	0,	0,
17.261024,	-357.049323,	27.024890,	5.140624,	-45.502056,	6.452649,	0,	0,	0,
18.143133,	-375.106214,	28.998019,	5.273877,	-47.663383,	6.897291,	0,	0,	0,
19.181579,	-394.140390,	31.896150,	5.303525,	-49.452454,	6.113109,	0,	0,	0,
19.904742,	-412.284555,	30.511786,	5.453013,	-51.584373,	6.479963,	0,	0,	0,
20.914034,	-431.254307,	31.142723,	5.403343,	-51.864113,	7.225471,	0,	0,	0,
21.308844,	-443.436864,	34.437440,	5.583929,	-54.731033,	7.156859,	0,	0,	0,
22.248322,	-461.807865,	36.093351,	5.617039,	-55.926888,	6.591512,	0,	0,	0,
22.927244,	-477.236206,	34.842023,	5.681330,	-56.873478,	7.504907,	0,	0,	0,
23.576292,	-489.966727,	37.695811,	5.739763,	-58.487556,	7.154670,	0,	0,	0,
24.184896,	-503.740648,	37.988725,	5.835405,	-59.777218,	7.097373,	0,	0,	0,
24.915906,	-516.850958,	37.934996,	5.877160,	-61.600842,	7.522761,	0,	0,	0,
25.506942,	-531.669244,	39.573205,	5.912003,	-62.041508,	7.383448,	0,	0,	0,
25.989057,	-542.057593,	39.983671,	6.045516,	-63.599937,	7.342879,	0,	0,	0,
26.794798,	-554.244495,	40.064292,	6.021117,	-64.701569,	7.259622,	0,	0,	0,
27.169851,	-565.689462,	39.784626,	6.149529,	-65.945229,	7.830762,	0,	0,	0,
27.893010,	-577.258341,	41.862872,	6.205340,	-66.627892,	7.134027,	0,	0,	0,
28.534626,	-586.697773,	40.342644,	6.190832,	-68.183838,	8.042788,	0,	0,	0,
28.852601,	-598.320447,	43.021117,	6.235217,	-68.809891,	7.689399,	0,	0,	0,
29.212609,	-607.569123,	43.199219,	6.365167,	-69.504440,	7.511021,	0,	0,	0,
29.933012,	-615.699443,	42.603175,	6.411896,	-70.622620,	7.638227,	0,	0,	0,
30.537372,	-624.838973,	42.754156,	6.356894,	-71.718086,	7.832051,	0,	0,	0,
30.674642,	-634.479072,	43.603120,	6.454799,	-72.357933,	7.838376,	0,	0,	0,
31.139118,	-642.623409,	44.124020,	6.505192,	-72.987892,	7.786785,	0,	0,	0,
31.608316,	-649.854918,	44.225909,	6.513391,	-73.638763,	7.840074,	0,	0,	0,
31.914663,	-656.635112,	44.494599,	6.585695,	-74.553207,	8.006425,	0,	0,	0,
32.377454,	-664.186083,	45.304512,	6.559123,	-75.197258,	7.889673,	0,	0,	0,
32.543586,	-671.126177,	45.319532,	6.593947,	-76.234398,	8.316839,	0,	0,	0,
32.777342,	-679.252152,	47.004889,	6.683124,	-76.120476,	7.880996,	0,	0,	0,
33.263944,	-683.553277,	46.279058,	6.623796,	-77.103638,	7.676473,	0,	0,	0,
33.315422,	-689.925362,	45.052199,	6.759764,	-77.728249,	8.511702,	0,	0,	0,
33.879164,	-696.100299,	47.613492,	6.689823,	-78.200592,	8.312421,	0,	0,	0,
33.934064,	-701.562402,	48.327979,	6.810059,	-79.218651,	7.947157,	0,	0,	0,
34.438056,	-708.749849,	47.311855,	6.732731,	-79.336395,	8.387174,	0,	0,	0,
34.429053,	-713.411830,	48.445120,	6.797152,	-80.114349,	8.317663,	0,	0,	0,
34.676637,	-719.189356,	48.834500,	6.772989,	-80.448845,	8.384304,	0,	0,	0,
34.726471,	-723.878202,	49.323586,	6.863019,	-80.943741,	8.156983,	0,	0,	0,
35.108950,	-728.560452,	48.717164,	6.903100,	-81.676537,	7.509972,	0,	0,	0,
35.489756,	-734.172581,	45.823360,	6.776206,	-81.754906,	9.218693,	0,	0,	0,
35.214227,	-737.759510,	50.838971,	6.930858,	-82.969238,	8.196107,	0,	0,	0,
35.660219,	-744.621590,	49.756206,	6.814967,	-82.158409,	8.024513,	0,	0,	0,
35.465967,	-745.448896,	48.450026,	6.947419,	-83.672432,	8.798022,	0,	0,	0,
35.872320,	-751.874695,	50.722725,	6.914983,	-82.738968,	8.555881,	0,	0,	0,
35.982455,	-751.965739,	51.100353,	6.868772,	-84.366333,	8.263103,	0,	0,	0,
35.865438,	-758.406175,	50.171890,	6.893774,	-83.981689,	8.396010,	0,	0,	0,
35.895190,	-760.659834,	50.151010,	6.902150,	-84.171989,	8.595634,	0,	0,	0,
35.945452,	-762.723624,	50.922312,	6.888628,	-85.253021,	8.942821,	0,	0,	0,
35.921749,	-768.172494,	52.735676,	6.938478,	-85.388130,	8.198361,	0,	0,	0,
36.103556,	-771.886725,	50.873357,	6.849554,	-85.093559,	9.299928,	0,	0,	0,
35.860773,	-772.900905,	54.108678,	6.976123,	-85.754463,	8.029433,	0,	0,	0,
36.215678,	-776.087499,	51.012620,	6.840792,	-85.706268,	8.715761,	0,	0,	0,
35.891898,	-777.760364,	51.897262,	6.942411,	-86.533310,	8.823369,	0,	0,	0,
36.101548,	-781.983921,	52.836534,	6.935957,	-86.706146,	8.869652,	0,	0,	0,
36.198721,	-785.130239,	53.567035,	6.834675,	-86.770271,	8.473948,	0,	0,	0,
35.857983,	-787.220414,	52.440792,	6.937253,	-86.930740,	8.785963,	0,	0,	0,
36.061484,	-789.071591,	53.007322,	6.884573,	-87.675316,	8.847614,	0,	0,	0,
35.973636,	-793.075671,	53.580337,	6.887192,	-87.622978,	8.519648,	0,	0,	0,
35.932581,	-795.209958,	52.627933,	6.784031,	-87.548882,	9.201545,	0,	0,	0,
35.503697,	-796.166266,	54.747788,	6.959041,	-88.259903,	8.253084,	0,	0,	0,
35.939982,	-799.515750,	52.263877,	6.835909,	-87.663010,	9.452087,	0,	0,	0,
35.711637,	-799.130213,	55.518412,	6.843741,	-88.521317,	8.635404,	0,	0,	0,
35.608949,	-802.273696,	54.214740,	6.735343,	-88.402397,	8.512796,	0,	0,	0,
35.123492,	-803.643783,	52.971744,	6.820225,	-88.667473,	9.659485,	0,	0,	0,
35.172977,	-805.484761,	56.746053,	6.784810,	-88.278458,	8.709139,	0,	0,	0,
35.062892,	-805.033658,	55.221491,	6.703727,	-89.203438,	8.793001,	0,	0,	0,
34.680324,	-808.400513,	54.659794,	6.789343,	-89.077438,	9.619765,	0,	0,	0,
34.792812,	-809.873336,	57.576537,	6.687326,	-89.119873,	8.239740,	0,	0,	0,
34.458137,	-810.900503,	53.864430,	6.687755,	-89.620438,	9.021235,	0,	0,	0,
34.264258,	-813.465372,	54.762612,	6.635457,	-89.670906,	8.832582,	0,	0,	0,
33.945706,	-815.162186,	54.547005,	6.656922,	-89.248848,	9.521029,	0,	0,	0,
33.843814,	-814.497154,	57.123100,	6.561187,	-89.473976,	8.823758,	0,	0,	0,
33.408525,	-814.992159,	55.891680,	6.576792,	-89.959625,	9.367082,	0,	0,	0,
33.215422,	-817.187527,	57.304610,	6.573093,	-90.348930,	9.024899,	0,	0,	0,
33.088067,	-819.998329,	56.787196,	6.462523,	-89.880280,	9.049484,	0,	0,	0,
32.579672,	-819.801363,	56.581352,	6.456736,	-89.867973,	9.278271,	0,	0,	0,
32.259888,	-819.637969,	57.359033,	6.424445,	-90.719513,	9.304014,	0,	0,	0,
31.946292,	-822.884695,	57.914497,	6.330682,	-90.306107,	9.174371,	0,	0,	0,
31.395037,	-823.159281,	57.730235,	6.369725,	-90.443893,	9.429966,	0,	0,	0,
31.226162,	-823.860529,	58.625748,	6.241985,	-89.895691,	9.304409,	0,	0,	0,
30.626117,	-822.118653,	58.656227,	6.262766,	-90.814934,	9.323083,	0,	0,	0,
30.357057,	-824.708752,	58.747330,	6.207029,	-90.873650,	9.147861,	0,	0,	0,
29.981076,	-826.452679,	58.112835,	6.120682,	-90.171135,	9.941811,	0,	0,	0,
29.422473,	-824.714415,	60.858249,	6.063419,	-90.756035,	9.091492,	0,	0,	0,
28.871313,	-825.994363,	59.125068,	6.059241,	-89.965317,	9.462855,	0,	0,	0,
28.532857,	-823.638792,	59.569880,	6.013088,	-91.382256,	9.317748,	0,	0,	0,
28.153941,	-827.823693,	59.260266,	5.883058,	-90.813828,	9.859297,	0,	0,	0,
27.422173,	-828.038040,	61.204871,	5.859556,	-90.506439,	9.615358,	0,	0,	0,
26.902337,	-826.956823,	61.383731,	5.905771,	-90.838646,	9.506228,	0,	0,	0,
26.779971,	-827.628911,	61.059921,	5.709077,	-90.676201,	9.743934,	0,	0,	0,
25.936463,	-827.384053,	61.803676,	5.694319,	-91.370796,	9.348501,	0,	0,	0,
25.385652,	-829.967188,	60.686245,	5.702768,	-90.569054,	9.572619,	0,	0,	0,
25.096960,	-828.329839,	60.912936,	5.672738,	-90.510216,	9.466805,	0,	0,	0,
24.810401,	-827.142153,	60.630090,	5.514352,	-90.911446,	9.401626,	0,	0,	0,
24.021308,	-828.022936,	60.208990,	5.555418,	-90.634384,	9.495072,	0,	0,	0,
23.721397,	-827.450168,	60.329697,	5.379333,	-90.739906,	9.192492,	0,	0,	0,
22.855037,	-827.529645,	59.212636,	5.514730,	-91.299149,	9.119743,	0,	0,	0,
22.880215,	-829.771052,	58.274371,	5.306549,	-90.143097,	9.749146,	0,	0,	0,
22.077836,	-826.543396,	60.196450,	5.233977,	-90.344826,	9.238720,	0,	0,	0,
21.324144,	-825.449141,	59.316213,	5.280530,	-91.471252,	9.361155,	0,	0,	0,
21.066457,	-829.230839,	59.282407,	5.076028,	-89.783104,	9.470827,	0,	0,	0,
20.113232,	-824.814799,	59.693106,	5.127378,	-91.053864,	9.330374,	0,	0,	0,
19.757777,	-827.221966,	59.381826,	5.007675,	-90.366188,	8.794600,	0,	0,	0,
19.080251,	-825.929495,	57.097078,	4.965761,	-90.057716,	9.780164,	0,	0,	0,
18.519843,	-823.963546,	59.630265,	4.902290,	-90.798897,	8.607136,	0,	0,	0,
17.943266,	-825.723836,	56.506474,	4.810575,	-89.890671,	9.823949,	0,	0,	0,
17.246381,	-823.187737,	59.457008,	4.786940,	-90.034828,	8.478310,	0,	0,	0,
16.746405,	-822.271619,	55.899606,	4.707279,	-90.159119,	9.392330,	0,	0,	0,
16.141593,	-822.224130,	57.408339,	4.656773,	-90.414825,	8.890094,	0,	0,	0,
15.589952,	-823.200002,	56.318714,	4.542851,	-89.839233,	9.071703,	0,	0,	0,
14.820479,	-821.511097,	56.394809,	4.500192,	-89.401733,	8.595915,	0,	0,	0,
14.203421,	-818.807077,	54.571857,	4.531106,	-90.160561,	9.081329,	0,	0,	0,
13.964186,	-820.205351,	55.411849,	4.252275,	-89.466438,	9.180052,	0,	0,	0,
12.730016,	-818.298049,	56.290158,	4.245258,	-89.644753,	9.032059,	0,	0,	0,
11.981311,	-817.883418,	56.222524,	4.201396,	-89.607620,	8.482684,	0,	0,	0,
11.371664,	-817.495397,	54.026766,	4.195457,	-89.626747,	9.011993,	0,	0,	0,
10.992117,	-817.343735,	54.821200,	4.140320,	-89.279816,	7.792041,	0,	0,	0,
10.553932,	-815.893445,	50.497228,	3.876203,	-89.015427,	9.377016,	0,	0,	0,
9.261254,	-814.008297,	54.191458,	4.017571,	-89.518814,	8.168257,	0,	0,	0,
9.060760,	-814.882489,	51.605858,	3.838592,	-89.373688,	9.085799,	0,	0,	0,
8.241128,	-814.823701,	53.696269,	3.717615,	-88.619904,	8.554039,	0,	0,	0,
7.287373,	-811.830827,	52.830658,	3.796856,	-89.435188,	8.029572,	0,	0,	0,
7.041074,	-813.281904,	50.266376,	3.653718,	-87.972778,	8.483172,	0,	0,	0,
6.335352,	-808.390010,	50.548322,	3.546982,	-89.144119,	8.239323,	0,	0,	0,
5.504050,	-810.128914,	49.755988,	3.599049,	-88.263550,	7.952764,	0,	0,	0,
5.222654,	-807.688868,	48.168290,	3.335334,	-88.732681,	8.640832,	0,	0,	0,
4.023171,	-808.104365,	49.941143,	3.317697,	-88.145920,	8.031958,	0,	0,	0,
3.253054,	-806.044176,	48.587309,	3.336238,	-88.497200,	7.679089,	0,	0,	0,
2.875821,	-806.219082,	46.411248,	3.135454,	-87.960579,	7.947865,	0,	0,	0,
1.867338,	-804.215104,	46.194626,	3.216612,	-88.169067,	7.596729,	0,	0,	0,
1.596585,	-803.862414,	44.689877,	3.079809,	-88.023201,	7.765394,	0,	0,	0,
0.901441,	-803.083815,	44.472599,	2.963353,	-88.078835,	7.873204,	0,	0,	0,
0.038168,	-802.847212,	44.768780,	2.931026,	-88.011063,	7.287888,	0,	0,	0,
-0.000000,	-802.442960,	42.644544,	-3.329384,	-87.506615,	7.736649,	0,	0,	0,
-0.948063,	-800.226839,	43.164625,	-3.321543,	-87.275558,	7.097588,	0,	0,	0,
